step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
0,1,0.0,837.2222,2624.7222,0.0,1,1,0,837.2222,2624.7222
1,1,1.8799,1062.0669,3329.7118,0.0,0,0,0,1062.0669,3329.7118
2,1,3.8211,1332.3489,4177.1595,0.0,0,0,0,1332.3489,4177.1595
3,2,3.1242,2774.5332,8698.6588,0.0,1,1,0,1387.2666,4349.3294
4,2,4.7659,2816.2733,8829.5705,0.0,0,0,0,1408.1366,4414.7853
5,2,5.869,2071.7716,6495.3551,0.0,0,0,0,1035.8858,3247.6776
6,3,4.7575,3489.6703,10940.7127,0.0,1,1,0,1163.2234,3646.9042
7,3,6.4759,4401.6253,13800.0469,0.0,0,0,0,1467.2084,4600.0156
8,3,7.2132,3383.8622,10609.1963,0.0,0,0,0,1127.9541,3536.3988
9,4,6.4444,5747.2318,18018.782,0.0,1,1,0,1436.8079,4504.6955
10,4,7.0865,4890.7229,15333.5386,0.0,0,0,0,1222.6807,3833.3847
11,4,7.729,4884.3862,15313.6712,0.0,0,0,0,1221.0965,3828.4178
12,5,6.3526,6782.9564,21266.1076,0.0,1,1,0,1356.5913,4253.2215
13,5,5.9774,3131.739,9818.5298,0.0,0,0,0,626.3478,1963.706
14,5,5.673,4001.2443,12544.8793,0.0,0,0,0,800.2489,2508.9759
15,6,4.1657,3774.5679,11833.7167,1.0,2,1,0,629.0947,1972.2861
16,6,4.9772,5212.3012,16341.3968,0.0,0,0,0,868.7169,2723.5661
17,6,6.5918,9173.1557,28759.8821,0.0,0,0,0,1528.8593,4793.3137
18,7,6.6456,9231.6979,28943.2715,0.0,1,1,0,1318.814,4134.7531
19,7,8.0117,10510.1951,32952.112,0.0,0,0,0,1501.4564,4707.4446
20,7,9.388,12937.8476,40563.5297,0.0,0,0,0,1848.2639,5794.79
21,8,9.3321,14392.9031,45125.2862,0.0,1,1,0,1799.1129,5640.6608
22,8,9.4675,7229.2444,22665.2622,0.0,0,0,0,903.6555,2833.1578
23,8,10.1222,8317.324,26076.7358,0.0,0,0,0,1039.6655,3259.592
