step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
0,1,0.0,837.2222,2624.7222,0.0,1,1,0,837.2222,2624.7222
1,1,1.3556,938.4938,2942.2632,0.0,0,0,0,938.4938,2942.2632
2,1,2.8619,1097.6798,3441.3844,0.0,0,0,0,1097.6798,3441.3844
3,2,2.16,2066.0449,6477.301,0.0,1,1,0,1033.0225,3238.6505
4,2,4.443,3229.8487,10126.2564,0.0,0,0,0,1614.9244,5063.1282
5,2,6.6156,3936.1189,12340.6863,0.0,0,0,0,1968.0594,6170.3432
6,3,5.4763,4425.4791,13874.783,0.0,1,1,0,1475.1597,4624.9277
7,3,7.2925,5520.9108,17309.3672,0.0,0,0,0,1840.3036,5769.7891
8,3,8.1576,4314.9696,13528.5232,0.0,0,0,0,1438.3232,4509.5077
9,4,6.5028,3165.8887,9925.5307,0.0,1,1,0,791.4722,2481.3827
10,4,7.6553,4175.5515,13091.2603,0.0,0,0,0,1043.8879,3272.8151
11,4,8.4425,4387.3263,13755.1384,0.0,0,0,0,1096.8316,3438.7846
12,5,7.1375,4238.0206,13286.9404,0.0,1,1,0,847.6041,2657.3881
13,5,7.4619,4268.2779,13381.9868,0.0,0,0,0,853.6556,2676.3974
14,5,7.9085,5779.5628,18120.2419,0.0,0,0,0,1155.9126,3624.0484
15,6,7.3854,7587.7303,23789.1466,0.0,1,1,0,1264.6217,3964.8578
16,6,8.0709,6803.9826,21332.1132,0.0,0,0,0,1133.9971,3555.3522
17,6,8.812,8784.1197,27540.2784,0.0,0,0,0,1464.02,4590.0464
18,7,7.6563,5122.1883,16058.7994,0.0,1,1,0,731.7412,2294.1142
19,7,8.4619,7237.0391,22689.6389,0.0,0,0,0,1033.8627,3241.377
20,7,9.0683,7785.9936,24410.7356,0.0,0,0,0,1112.2848,3487.2479
21,8,8.3404,7392.5682,23177.1681,0.0,1,1,0,924.071,2897.146
22,8,9.1372,9723.5881,30485.8038,0.0,0,0,0,1215.4485,3810.7255
23,8,9.4421,6366.7035,19960.7992,0.0,0,0,0,795.8379,2495.0999
24,9,8.5241,6871.6775,21543.9349,0.0,1,1,0,763.5197,2393.7705
25,9,8.8541,6117.0183,19178.0101,0.0,0,0,0,679.6687,2130.89
26,9,9.5166,9918.9693,31098.1393,0.0,0,0,0,1102.1077,3455.3488
27,10,8.6957,6539.2274,20501.6545,0.0,1,1,0,653.9227,2050.1655
28,10,9.4457,12010.8819,37656.822,0.0,0,0,0,1201.0882,3765.6822
29,10,9.9942,10056.4761,31529.2758,0.0,0,0,0,1005.6476,3152.9276
30,11,9.4578,11719.9834,36744.9196,0.0,1,1,0,1065.453,3340.4472
31,11,9.5327,7253.7743,22741.9934,0.0,0,0,0,659.434,2067.4539
32,11,9.1334,5918.797,18556.5576,0.0,0,0,0,538.0725,1686.9598
33,12,8.5402,9028.1011,28304.5752,0.0,1,1,0,752.3418,2358.7146
34,12,8.6881,7739.5216,24264.8873,0.0,0,0,0,644.9601,2022.0739
35,12,9.2227,12619.9338,39566.2493,0.0,0,0,0,1051.6612,3297.1874
36,13,8.8463,11080.3982,34739.385,0.0,1,1,0,852.3383,2672.2604
37,13,9.0423,9408.5623,29497.8524,0.0,0,0,0,723.7356,2269.0656
38,13,9.2021,11242.3303,35246.985,0.0,0,0,0,864.7946,2711.3065
39,14,8.5427,12102.5637,37943.985,0.0,1,1,0,864.4688,2710.2846
40,14,9.09,14116.7963,44259.0026,0.0,0,0,0,1008.3426,3161.3573
41,14,9.183,9205.6322,28861.7764,0.0,0,0,0,657.5452,2061.5555
42,15,9.1162,16351.1388,51264.8425,0.0,1,1,0,1090.0759,3417.6562
43,15,9.7136,17355.3781,54412.9203,0.0,0,0,0,1157.0252,3627.528
44,15,9.7009,11394.1968,35723.4871,0.0,0,0,0,759.6131,2381.5658
45,16,9.1671,10983.2376,34434.6525,0.0,1,1,0,686.4524,2152.1658
46,16,9.2714,13160.6352,41261.6784,0.0,0,0,0,822.5397,2578.8549
47,16,9.5131,15421.5982,48350.2398,0.0,0,0,0,963.8499,3021.89
48,17,9.1398,17153.7871,53780.7292,0.0,1,1,0,1009.0463,3163.5723
49,17,9.4945,16975.8029,53222.9468,0.0,0,0,0,998.5766,3130.7616
50,17,9.5496,14427.6886,45234.3373,0.0,0,0,0,848.6876,2660.8434
51,18,8.9731,16356.0361,51279.9691,0.0,1,1,0,908.6687,2848.8872
52,18,8.8735,12442.9569,39011.4215,0.0,0,0,0,691.2754,2167.3012
53,18,9.4303,22162.5475,69484.6991,1.0,1,0,0,1231.2526,3860.2611
54,19,8.9939,18727.7291,58715.3792,2.0,2,1,0,985.67,3090.2831
55,19,8.8599,14892.8097,46692.2229,3.0,1,0,0,783.8321,2457.4854
56,19,9.5387,21690.8438,68005.7764,0.0,0,0,0,1141.6234,3579.2514
57,20,9.4047,16738.1577,52477.959,0.0,1,1,0,836.9079,2623.898
58,20,9.896,22588.1111,70818.9828,0.0,0,0,0,1129.4056,3540.9491
59,20,10.1861,21286.977,66739.8261,0.0,0,0,0,1064.3488,3336.9913
60,21,10.0527,20098.328,63012.8145,0.0,1,1,0,957.0632,3000.6102
61,21,10.1929,16823.0725,52744.2614,0.0,0,0,0,801.0987,2511.6315
62,21,10.2336,15870.62,49757.8165,0.0,0,0,0,755.7438,2369.4198
63,22,9.98,17545.4396,55008.5401,0.0,1,1,0,797.52,2500.3882
64,22,9.9708,14540.9649,45588.7968,0.0,0,0,0,660.953,2072.218
65,22,10.0588,18904.2168,59268.8673,0.0,0,0,0,859.2826,2694.0394
66,23,9.5571,12889.3379,40410.4517,0.0,1,1,0,560.406,1756.9762
67,23,9.5175,20730.5268,64994.8239,0.0,0,0,0,901.3273,2825.8619
68,23,9.5848,19836.8815,62193.075,0.0,0,0,0,862.4731,2704.0467
69,24,8.8514,16330.8566,51200.7172,0.0,1,1,0,680.4524,2133.3632
70,24,8.8395,21912.396,68700.0471,0.0,0,0,0,913.0165,2862.502
71,24,8.7583,14623.5251,45847.7348,0.0,0,0,0,609.3135,1910.3223
72,25,8.1676,15118.159,47398.1962,1.0,2,1,0,604.7264,1895.9278
73,25,8.4406,22655.4857,71029.6117,2.0,1,0,0,906.2194,2841.1845
74,25,8.7928,22764.563,71371.5736,4.0,2,0,0,910.5825,2854.8629
75,26,8.6909,25049.5425,78535.7671,6.0,3,1,0,963.4439,3020.6064
76,26,9.1062,28390.868,89011.6992,8.0,2,0,0,1091.9565,3423.5269
77,26,9.7144,30781.551,96507.177,10.0,2,0,0,1183.9058,3711.8145
78,27,9.5798,26204.0315,82155.6964,12.0,3,1,0,970.5197,3042.8036
79,27,9.5368,24400.5176,76500.6642,14.0,2,0,0,903.7229,2833.3579
80,27,9.6817,21080.7312,66092.8462,9.0,1,0,0,780.7678,2447.8832
81,28,9.5523,25060.2401,78569.1767,10.0,2,1,0,895.0086,2806.042
82,28,10.0671,34426.7058,107935.6807,11.0,1,0,0,1229.5252,3854.8457
83,28,10.2174,24870.074,77973.2026,12.0,1,0,0,888.2169,2784.7572
84,29,9.8981,23893.8504,74912.4557,13.0,2,1,0,823.9259,2583.1881
85,29,10.3857,31634.2129,99180.5327,14.0,1,0,0,1090.8349,3420.0184
86,29,10.7169,33104.0552,103789.2429,15.0,1,0,0,1141.5191,3578.9394
87,30,10.4715,29172.2446,91461.6739,16.0,2,1,0,972.4082,3048.7225
88,30,10.6615,24135.4322,75669.9164,17.0,1,0,0,804.5144,2522.3305
89,30,10.6712,19996.319,62692.3978,18.0,1,0,0,666.544,2089.7466
90,31,10.2388,22455.895,70404.224,0.0,1,1,0,724.3837,2271.104
91,31,10.4499,29587.9656,92764.8271,0.0,0,0,0,954.4505,2992.4138
92,31,10.6555,23628.8197,74081.5793,0.0,0,0,0,762.22,2389.7284
93,32,10.5697,29378.3175,92107.5107,0.0,1,1,0,918.0724,2878.3597
94,32,10.4602,19653.7589,61618.6768,0.0,0,0,0,614.18,1925.5837
95,32,10.3736,24799.7482,77752.8463,0.0,0,0,0,774.9921,2429.7764
96,33,10.2082,30028.437,94145.5943,0.0,1,1,0,909.9526,2852.8968
97,33,10.4811,29571.6583,92713.8792,0.0,0,0,0,896.1109,2809.5115
98,33,10.803,30597.6371,95930.8073,0.0,0,0,0,927.2011,2906.9942
99,34,10.7276,28725.8256,90062.1096,0.0,1,1,0,844.8772,2648.8856
100,34,11.1086,34104.9125,106926.9438,0.0,0,0,0,1003.0857,3144.9101
101,34,11.0913,22667.2053,71066.8804,0.0,0,0,0,666.6825,2090.2024
102,35,10.7101,22906.9631,71818.4796,0.0,1,1,0,654.4847,2051.9566
103,35,10.5678,21657.9085,67901.7464,0.0,0,0,0,618.7974,1940.0499
104,35,10.3586,23704.09,74317.3028,0.0,0,0,0,677.2597,2123.3515
105,36,10.1786,30372.7944,95225.4387,0.0,1,1,0,843.6887,2645.1511
106,36,10.0967,30518.1778,95681.106,0.0,0,0,0,847.7272,2657.8085
107,36,10.1956,29164.9712,91438.9519,0.0,0,0,0,810.1381,2539.9709
108,37,9.9871,37484.1726,117521.6138,1.0,2,1,0,1013.0857,3176.2598
109,37,10.2333,32556.5301,102072.1593,2.0,1,0,0,879.9062,2758.707
110,37,10.352,27116.6649,85016.3262,4.0,2,0,0,732.8828,2297.7385
111,38,10.3526,35297.9703,110666.8074,6.0,3,1,0,928.894,2912.2844
112,37,10.5301,26507.3354,83105.9521,5.0,1,0,1,716.4145,2246.1068
113,37,10.7323,33132.8354,103878.4925,6.0,1,0,0,895.482,2807.5268
114,38,10.6487,32137.2476,100756.9998,7.0,2,1,0,845.717,2651.5
115,38,10.6484,27138.8755,85086.0934,8.0,1,0,0,714.1809,2239.1077
116,38,10.3704,25404.2909,79648.0984,9.0,1,0,0,668.534,2096.0026
117,39,10.1765,31922.6193,100083.9025,10.0,2,1,0,818.5287,2566.2539
118,39,10.1562,30940.4502,97005.1027,11.0,1,0,0,793.3449,2487.3103
119,38,10.1399,30134.676,94478.7246,12.0,1,0,1,793.0178,2486.2822
120,38,10.2221,38539.335,120829.7987,13.0,1,0,0,1014.193,3179.7315
121,38,10.2197,31105.4499,97522.7361,14.0,1,0,0,818.5645,2566.3878
122,38,10.2906,31554.7012,98931.0662,15.0,1,0,0,830.3869,2603.4491
123,39,10.1073,35619.2889,111674.6213,17.0,3,1,0,913.3151,2863.4518
124,39,10.2508,31041.3146,97320.9725,19.0,2,0,0,795.9311,2495.4096
125,39,10.2221,30731.9793,96351.4769,21.0,2,0,0,787.9995,2470.5507
126,40,9.9573,32042.8439,100461.1408,24.0,4,1,0,801.0711,2511.5285
127,40,9.9756,33829.8024,106063.3237,27.0,3,0,0,845.7451,2651.5831
128,40,10.2604,35199.8111,110358.7835,10.0,3,0,0,879.9953,2758.9696
129,42,9.8005,38161.7165,119645.1166,9.0,4,2,0,908.6123,2848.6933
130,42,9.5146,24126.1826,75640.1756,11.0,2,0,0,574.4329,1800.9566
131,42,9.3441,31671.0057,99295.0423,13.0,2,0,0,754.0716,2364.1677
132,43,9.204,31715.2674,99434.0058,10.0,2,1,0,737.5644,2312.4187
133,43,9.3585,38791.4741,121619.5455,12.0,2,0,0,902.1273,2828.3615
134,43,9.6159,40400.9453,126665.7812,14.0,2,0,0,939.5569,2945.7158
135,44,9.7455,46438.2627,145594.4899,16.0,3,1,0,1055.4151,3308.9657
136,44,10.1058,45194.1834,141694.0581,4.0,1,0,0,1027.1405,3220.3195
137,44,10.3597,42836.5773,134302.3584,6.0,2,0,0,973.5586,3052.3263
138,45,10.0263,37514.1534,117615.0005,8.0,3,1,0,833.6479,2613.6667
139,45,10.03,37041.4193,116133.2028,10.0,2,0,0,823.1427,2580.7378
140,45,10.3065,50493.3529,158308.3038,12.0,2,0,0,1122.0745,3517.9623
141,46,9.5358,26798.7618,84019.6247,15.0,4,1,0,582.5818,1826.5136
142,46,9.8561,48079.1673,150738.8242,16.0,2,0,0,1045.1993,3276.931
143,46,9.9363,40606.442,127309.7923,19.0,3,0,0,882.7487,2767.6042
144,47,10.1598,48330.5153,151527.1632,0.0,1,1,0,1028.3088,3223.9822
145,47,10.4022,43144.8985,135269.004,0.0,0,0,0,917.9766,2878.0639
146,46,10.7368,44238.518,138698.1461,0.0,0,0,1,961.7069,3015.1771
147,47,10.7879,49065.3949,153831.5728,0.0,1,1,0,1043.9446,3273.0122
148,47,10.7618,47497.677,148916.5851,0.0,0,0,0,1010.5889,3168.438
149,46,10.7806,40941.3337,128360.9819,0.0,0,0,1,890.029,2790.4561
150,47,10.6949,42369.3024,132837.3642,0.0,1,1,0,901.4745,2826.3269
151,47,10.8983,46377.9403,145405.8455,1.0,1,0,0,986.7647,3093.7414
152,47,10.9473,47643.6304,149374.0368,2.0,1,0,0,1013.6943,3178.171
153,48,10.5196,35800.9978,112243.8043,4.0,3,1,0,745.8541,2338.4126
154,48,10.8552,47442.3467,148742.4646,4.0,1,0,0,988.3822,3098.8013
155,48,10.8193,38826.131,121728.759,5.0,1,0,0,808.8777,2536.0158
156,49,10.9434,54189.427,169896.5198,7.0,3,1,0,1105.9067,3467.2759
157,49,11.1575,47681.508,149492.3654,9.0,2,0,0,973.092,3050.8646
158,49,11.3987,54967.2298,172335.7858,11.0,2,0,0,1121.7802,3517.0569
159,50,11.3795,43932.3821,137737.7804,13.0,3,1,0,878.6476,2754.7556
160,50,11.5331,46333.3294,145266.066,0.0,0,0,0,926.6666,2905.3213
161,50,11.6519,43503.2546,136393.0282,0.0,0,0,0,870.0651,2727.8606
162,51,11.4336,45989.2587,144186.9964,0.0,1,1,0,901.7502,2827.196
163,51,11.3819,47712.3003,149589.3409,0.0,0,0,0,935.5353,2933.1243
164,51,11.2808,39038.1977,122393.7683,0.0,0,0,0,765.4549,2399.8778
165,52,10.9053,45272.3965,141939.3182,0.0,1,1,0,870.623,2729.6023
166,52,10.8688,40477.0124,126904.4881,1.0,1,0,0,778.4041,2440.4709
167,52,10.9823,51633.5096,161882.7958,3.0,2,0,0,992.9521,3113.1307
168,53,10.7403,49291.0562,154538.8026,3.0,2,1,0,930.0199,2915.8265
169,53,10.8362,49199.5782,154252.0797,5.0,2,0,0,928.2939,2910.4166
170,53,10.8355,45512.9555,142693.6138,7.0,2,0,0,858.735,2692.3323
171,54,10.7034,45917.7855,143962.1632,9.0,3,1,0,850.3294,2665.966
172,54,10.6813,46752.5634,146579.2688,13.0,4,0,0,865.7882,2714.4309
173,54,10.7584,49889.5839,156414.8898,17.0,4,0,0,923.8812,2896.572
174,55,10.376,42243.7801,132443.5005,21.0,5,1,0,768.0687,2408.0636
175,55,10.3174,49555.3836,155367.0779,25.0,4,0,0,901.007,2824.856
176,55,10.1344,42561.4503,133439.644,18.0,3,0,0,773.8446,2426.1753
177,56,9.7933,51289.8879,160805.283,21.0,4,1,0,915.8909,2871.5229
178,56,9.8304,51466.4829,161358.6148,25.0,4,0,0,919.0443,2881.4038
179,56,9.6971,44749.6563,140299.8146,29.0,4,0,0,799.101,2505.3538
180,57,9.6646,53815.9099,168724.4468,34.0,6,1,0,944.1388,2960.078
181,57,10.1228,60105.8787,188445.0259,39.0,5,0,0,1054.4891,3306.0531
182,57,10.1106,47297.2482,148286.5682,44.0,5,0,0,829.7763,2601.5187
183,58,9.9927,47764.3343,149751.2046,49.0,6,1,0,823.523,2581.9173
184,58,10.1202,52235.6212,163770.1874,25.0,3,0,0,900.6142,2823.6239
185,58,10.2671,52331.8548,164072.1036,22.0,2,0,0,902.2734,2828.8294
186,59,10.1116,53196.771,166783.8143,24.0,3,1,0,901.6402,2826.8443
187,59,10.2631,57112.798,179061.6737,26.0,2,0,0,968.0135,3034.9436
188,59,10.4117,57018.2412,178765.0573,28.0,2,0,0,966.4109,3029.9162
189,60,10.1832,42587.2483,133520.0515,32.0,5,1,0,709.7875,2225.3342
190,60,10.1904,47455.628,148783.571,18.0,4,0,0,790.9271,2479.7262
191,60,10.4969,59469.9745,186451.5328,19.0,3,0,0,991.1662,3107.5255
192,61,10.5607,51645.0812,161918.6745,0.0,1,1,0,846.6407,2654.4045
193,61,10.9004,60150.5385,188585.433,1.0,1,0,0,986.0744,3091.5645
194,61,11.0411,50757.2087,159135.0446,2.0,1,0,0,832.0854,2608.7712
195,62,11.0501,58391.5176,183070.8378,0.0,1,1,0,941.7987,2952.7554
196,62,10.974,46986.546,147313.6449,0.0,0,0,0,757.8475,2376.0265
197,62,11.0224,57103.6641,179033.3536,0.0,0,0,0,921.0268,2887.6347
198,63,10.9603,66466.9175,208389.4614,1.0,2,1,0,1055.0304,3307.7692
199,63,10.8847,50754.0269,159125.6766,3.0,2,0,0,805.6195,2525.8044
200,63,10.7713,51863.9336,162604.7843,5.0,2,0,0,823.237,2581.0283
201,64,10.5798,56611.2526,177489.2807,5.0,3,1,0,884.5508,2773.27
202,64,10.6801,58887.9193,184627.0234,6.0,2,0,0,920.1237,2884.7972
203,64,10.6661,55351.7929,173540.4221,6.0,1,0,0,864.8718,2711.5691
204,65,10.6282,63332.406,198561.4333,8.0,3,1,0,974.3447,3054.7913
205,65,10.8443,57476.3176,180201.5697,10.0,2,0,0,884.251,2772.3318
206,65,11.0895,63059.0424,197704.9299,12.0,2,0,0,970.1391,3041.6143
207,66,10.9486,55380.2885,173629.5124,14.0,3,1,0,839.0953,2630.7502
208,66,11.2332,63214.896,198193.507,5.0,1,0,0,957.8015,3002.9319
209,66,11.377,64423.3633,201982.3882,0.0,0,0,0,976.1116,3060.3392
210,67,11.5401,69567.2175,218109.5929,0.0,1,1,0,1038.3167,3255.3671
211,67,11.592,58682.9345,183984.6587,0.0,0,0,0,875.8647,2746.0397
212,67,11.5854,57426.6898,180046.4887,0.0,0,0,0,857.1148,2687.261
213,68,11.3106,58721.7786,184106.8544,0.0,1,1,0,863.5556,2707.4537
214,68,11.5734,65895.3321,206597.7244,0.0,0,0,0,969.049,3038.2018
215,67,11.7063,67322.1413,211071.0763,0.0,0,0,1,1004.8081,3150.3146
216,68,11.5962,61054.1832,191419.692,1.0,2,1,0,897.8556,2814.9955
217,68,11.6331,58400.2788,183098.2674,2.0,1,0,0,858.8276,2692.6216
