step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
0,1,0.0,837.2222,2624.7222,0.0,1,1,0,837.2222,2624.7222
1,1,1.7275,1021.3137,3201.9356,0.0,0,0,0,1021.3137,3201.9356
2,2,1.616,1971.0512,6179.4508,0.0,1,1,0,985.5256,3089.7254
3,2,3.7437,2940.6957,9219.6532,0.0,0,0,0,1470.3478,4609.8266
4,3,4.0828,4644.1371,14560.3054,0.0,1,1,0,1548.0457,4853.4351
5,3,6.4407,5931.3072,18596.0757,0.0,0,0,0,1977.1024,6198.6919
6,4,6.2702,7048.3898,22098.306,0.0,1,1,0,1762.0975,5524.5765
7,4,7.7485,6121.8328,19193.3271,0.0,0,0,0,1530.4582,4798.3318
8,5,6.4619,3881.5738,12169.3361,0.0,1,1,0,776.3148,2433.8672
9,5,7.3518,5450.3792,17087.9544,0.0,0,0,0,1090.0758,3417.5909
10,6,6.7436,5668.7712,17772.7365,0.0,1,1,0,944.7952,2962.1227
11,6,7.2586,4919.8122,15424.6032,0.0,0,0,0,819.9687,2570.7672
12,7,6.9793,7658.9111,24012.0922,0.0,1,1,0,1094.1302,3430.2989
13,7,7.8508,7775.1318,24376.689,0.0,0,0,0,1110.7331,3482.3841
14,8,7.5827,9475.9241,29708.9854,0.0,1,1,0,1184.4905,3713.6232
15,8,8.3611,10837.7441,33978.8677,0.0,0,0,0,1354.718,4247.3585
16,9,8.0239,9493.9199,29765.5452,0.0,1,1,0,1054.88,3307.2828
17,9,8.3999,6384.0489,20015.0371,0.0,0,0,0,709.3388,2223.893
18,10,8.08,9862.0502,30919.3725,0.0,1,1,0,986.205,3091.9373
19,10,8.1022,6515.1308,20426.1721,0.0,0,0,0,651.5131,2042.6172
20,11,7.0579,6210.3464,19470.4957,0.0,1,1,0,564.5769,1770.0451
21,11,7.2419,11204.9475,35129.8321,0.0,0,0,0,1018.6316,3193.6211
22,12,7.1892,11041.6756,34617.86,0.0,1,1,0,920.1396,2884.8217
23,12,7.8284,11601.943,36374.4077,0.0,0,0,0,966.8286,3031.2006
24,13,7.7362,13408.6305,42038.9586,0.0,1,1,0,1031.4331,3233.766
25,13,8.5193,15373.281,48198.6478,0.0,0,0,0,1182.5601,3707.5883
26,14,8.6028,17752.5606,55658.219,0.0,1,1,0,1268.04,3975.5871
27,14,9.3386,17214.8049,53972.5446,0.0,0,0,0,1229.6289,3855.1818
28,15,9.0479,17403.4879,54564.0257,0.0,1,1,0,1160.2325,3637.6017
29,15,9.8604,19510.5734,61170.23,0.0,0,0,0,1300.7049,4078.0153
30,16,9.639,15008.954,47056.4184,0.0,1,1,0,938.0596,2941.0261
31,16,10.0286,13910.9246,43613.8551,0.0,0,0,0,869.4328,2725.8659
32,17,9.6134,14578.0408,45705.4109,0.0,1,1,0,857.5318,2688.5536
33,17,10.0593,16589.7234,52012.4009,0.0,0,0,0,975.8661,3059.553
34,18,9.312,11417.963,35797.7237,0.0,1,1,0,634.3313,1988.7624
35,18,9.7899,20666.1853,64793.2432,0.0,0,0,0,1148.1214,3599.6246
36,19,9.5903,17184.6277,53877.5446,0.0,1,1,0,904.4541,2835.6602
37,19,9.7588,16384.1607,51367.8277,0.0,0,0,0,862.3242,2703.5699
38,20,9.6679,18194.1635,57042.5479,0.0,1,1,0,909.7082,2852.1274
39,20,9.9484,14587.818,45736.0277,0.0,0,0,0,729.3909,2286.8014
40,21,9.2793,18298.6188,57370.084,0.0,1,1,0,871.3628,2731.9088
41,21,9.1506,14815.5571,46449.9304,0.0,0,0,0,705.5027,2211.9014
42,22,9.4768,26803.1178,84033.9216,0.0,1,1,0,1218.3235,3819.7237
43,22,9.9152,20870.0539,65432.3976,0.0,0,0,0,948.6388,2974.1999
44,23,9.9594,24345.564,76328.9884,0.0,1,1,0,1058.5028,3318.6517
45,23,9.9787,22935.6954,71909.0887,0.0,0,0,0,997.2041,3126.4821
46,24,9.5848,21339.0061,66902.4993,0.0,1,1,0,889.1253,2787.6041
47,24,9.527,20526.1777,64353.9837,1.0,1,0,0,855.2574,2681.416
48,25,8.951,18880.3143,59193.355,0.0,1,1,0,755.2126,2367.7342
49,25,9.3749,25732.8962,80678.4372,1.0,1,0,0,1029.3158,3227.1375
50,26,9.273,26711.7245,83746.7619,2.0,2,1,0,1027.374,3221.0293
51,26,9.5568,22887.9675,71758.6806,1.0,1,0,0,880.3064,2759.9493
52,27,9.1099,20929.1591,65617.3477,2.0,2,1,0,775.154,2430.2721
53,27,8.92,19820.9651,62142.8166,3.0,1,0,0,734.1098,2301.5858
54,28,8.515,23483.6451,73626.1774,5.0,3,1,0,838.7016,2629.5063
55,28,8.5796,24157.9222,75739.5156,8.0,3,0,0,862.7829,2704.9827
56,29,8.6378,28514.3129,89398.0951,11.0,4,1,0,983.2522,3082.6929
57,29,9.0594,29933.6007,93848.5474,14.0,3,0,0,1032.1931,3236.1568
58,30,9.3084,33524.2646,105105.7582,17.0,4,1,0,1117.4755,3503.5253
59,30,9.444,26399.1283,82767.1455,20.0,3,0,0,879.9709,2758.9049
