step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
0,1,0.0,837.2222,2624.7222,0.0,1,1,0,837.2222,2624.7222
1,1,2.015,1101.5459,3453.4932,0.0,0,0,0,1101.5459,3453.4932
2,1,3.8379,1296.9114,4066.0521,0.0,0,0,0,1296.9114,4066.0521
3,1,5.3704,1371.3889,4299.5821,0.0,0,0,0,1371.3889,4299.5821
4,1,7.795,2238.0932,7017.0002,0.0,0,0,0,2238.0932,7017.0002
5,1,7.6746,590.2288,1850.4238,0.0,0,0,0,590.2288,1850.4238
6,2,3.997,1715.8815,5379.4695,0.0,1,1,0,857.9407,2689.7348
7,2,4.8093,1084.873,3401.2176,0.0,0,0,0,542.4365,1700.6088
8,2,6.299,2622.4458,8221.9035,0.0,0,0,0,1311.2229,4110.9518
9,2,6.0908,824.4919,2584.9192,0.0,0,0,0,412.2459,1292.4596
10,2,6.9564,1882.5687,5902.3013,0.0,0,0,0,941.2843,2951.1506
11,2,6.6318,632.1353,1981.8142,0.0,0,0,0,316.0677,990.9071
12,3,5.4283,4172.2548,13080.8513,0.0,1,1,0,1390.7516,4360.2838
13,3,5.8876,1090.5234,3418.9335,0.0,0,0,0,363.5078,1139.6445
14,3,6.6163,2905.1791,9108.2246,0.0,0,0,0,968.393,3036.0749
15,3,6.6413,1244.4805,3901.6796,0.0,0,0,0,414.8268,1300.5599
16,3,7.5509,3201.7589,10038.2666,0.0,0,0,0,1067.253,3346.0889
17,3,7.6815,2270.147,7117.2376,0.0,0,0,0,756.7157,2372.4125
18,4,4.9002,837.2222,2624.7222,0.0,1,1,0,209.3056,656.1806
19,4,5.117,2514.66,7883.7884,0.0,0,0,0,628.665,1970.9471
20,4,5.6766,3764.6656,11802.7978,0.0,0,0,0,941.1664,2950.6994
21,4,6.6621,4175.8885,13092.2907,0.0,0,0,0,1043.9721,3273.0727
22,4,7.8028,5613.0307,17598.1086,0.0,0,0,0,1403.2577,4399.5272
23,4,7.5994,1985.9406,6226.3016,0.0,0,0,0,496.4852,1556.5754
24,5,5.2044,2740.7608,8592.5116,0.0,1,1,0,548.1522,1718.5023
25,5,6.1982,5343.279,16752.1296,0.0,0,0,0,1068.6558,3350.4259
26,5,6.6539,3616.4637,11338.4683,0.0,0,0,0,723.2927,2267.6937
27,5,7.8209,7108.2373,22285.9234,0.0,0,0,0,1421.6475,4457.1847
28,5,8.1677,3966.6529,12436.3358,0.0,0,0,0,793.3306,2487.2672
29,5,8.0368,3445.0425,10800.9386,0.0,0,0,0,689.0085,2160.1877
30,6,6.2084,4218.4002,13225.5653,0.0,1,1,0,703.0667,2204.2609
31,6,6.9015,6288.8625,19716.8544,0.0,0,0,0,1048.1437,3286.1424
32,6,8.1158,9178.1961,28775.9074,0.0,0,0,0,1529.6994,4795.9846
33,6,9.0121,7903.0989,24778.0929,0.0,0,0,0,1317.1832,4129.6821
34,6,9.1925,4684.3638,14686.4917,0.0,0,0,0,780.7273,2447.7486
35,6,8.624,2310.4245,7243.555,0.0,0,0,0,385.0708,1207.2592
36,6,7.53,4301.4349,13485.5851,0.0,1,1,1,716.9058,2247.5975
