step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
0,1,0.0,837.2222,2624.7222,0.0,1,1,0,837.2222,2624.7222
1,1,2.5069,1271.685,3986.9402,0.0,0,0,0,1271.685,3986.9402
2,2,2.3123,2350.7939,7370.083,0.0,1,1,0,1175.397,3685.0415
3,3,2.6501,3273.4759,10262.7972,0.0,1,1,0,1091.1586,3420.9324
4,4,3.1887,4637.7988,14540.2141,0.0,1,1,0,1159.4497,3635.0535
5,5,2.6175,4191.384,13140.5253,0.0,1,1,0,838.2768,2628.1051
6,6,3.8876,8419.7133,26397.3974,0.0,1,1,0,1403.2855,4399.5662
7,6,6.0847,10721.8159,33615.3812,0.0,0,0,0,1786.9693,5602.5635
8,7,6.332,9879.7145,30975.1491,0.0,1,1,0,1411.3878,4425.0213
9,8,7.023,12959.4107,40630.6915,0.0,1,1,0,1619.9263,5078.8364
10,9,6.9784,9773.2526,30641.1882,0.0,1,1,0,1085.917,3404.5765
11,10,7.0685,10469.4648,32823.9982,0.0,1,1,0,1046.9465,3282.3998
12,11,7.1889,12294.2655,38545.0761,0.0,1,1,0,1117.6605,3504.0978
13,11,7.9614,11773.0849,36911.231,0.0,0,0,0,1070.2804,3355.5665
14,12,7.9346,13854.6123,43437.0455,0.0,1,1,0,1154.551,3619.7538
15,13,7.834,11629.0165,36459.4834,0.0,1,1,0,894.5397,2804.5756
16,14,7.9538,14624.7279,45851.3731,0.0,1,1,0,1044.6234,3275.0981
17,15,7.933,14435.4394,45258.0019,0.0,1,1,0,962.3626,3017.2001
18,16,7.7365,15402.9399,48291.2503,0.0,1,1,0,962.6837,3018.2031
19,16,7.9356,9499.6408,29783.2146,0.0,0,0,0,593.7276,1861.4509
20,17,7.5459,11634.6388,36476.8147,0.0,1,1,0,684.3905,2145.695
21,18,7.7443,19613.2821,61491.7775,0.0,1,1,0,1089.6268,3416.2099
22,19,7.952,19288.6286,60473.88,0.0,1,1,0,1015.191,3182.8358
23,20,8.3673,25863.3844,81087.6235,0.0,1,1,0,1293.1692,4054.3812
24,21,8.718,28493.1328,89332.7374,0.0,1,1,0,1356.8158,4253.9399
25,21,9.3523,25806.6403,80909.7674,0.0,0,0,0,1228.8876,3852.8461
26,22,9.1142,14891.1484,46686.8516,0.0,1,1,0,676.8704,2122.1296
27,23,8.8872,21017.0957,65893.1007,0.0,1,1,0,913.7868,2864.9174
28,24,8.709,24243.363,76008.0554,0.0,1,1,0,1010.1401,3167.0023
29,25,8.6285,18710.8173,58661.8033,0.0,1,1,0,748.4327,2346.4721
30,26,8.5412,21294.3512,66762.0115,1.0,2,1,0,819.0135,2567.7697
31,26,9.0018,24311.3996,76221.7134,2.0,1,0,0,935.0538,2931.6044
32,27,8.8279,23079.615,72359.571,0.0,1,1,0,854.8006,2679.9841
33,28,8.9208,28552.2733,89517.3787,0.0,1,1,0,1019.724,3197.0492
34,29,8.955,26791.26,83996.1748,0.0,1,1,0,923.8366,2896.4198
35,30,9.2071,31365.2731,98336.9337,0.0,1,1,0,1045.5091,3277.8978
36,31,9.224,27318.3257,85648.6882,0.0,1,1,0,881.2363,2762.8609
37,31,9.5811,29259.0031,91733.8272,0.0,0,0,0,943.8388,2959.1557
38,32,9.8058,34932.1188,109519.8577,0.0,1,1,0,1091.6287,3422.4956
39,33,9.522,30521.619,95691.9834,0.0,1,1,0,924.8975,2899.7571
40,34,9.1833,23257.1502,72915.5423,0.0,1,1,0,684.0338,2144.5748
41,35,9.1023,30694.2546,96232.8044,1.0,2,1,0,876.9787,2749.5087
42,36,8.9059,28682.537,89925.3293,2.0,2,1,0,796.7371,2497.9258
43,36,9.0218,29662.7522,92998.8596,4.0,2,0,0,823.9653,2583.3017
44,37,8.8523,30662.3297,96132.5645,6.0,3,1,0,828.7116,2598.1774
45,38,8.9702,41236.7178,129286.0615,8.0,3,1,0,1085.1768,3402.2648
46,39,8.5643,22634.3894,70962.982,10.0,3,1,0,580.369,1819.5636
47,40,8.5393,37834.7371,118619.4016,12.0,3,1,0,945.8684,2965.485
48,41,8.738,37514.2363,117614.8385,8.0,2,1,0,914.9814,2868.6546
49,41,9.1058,38536.7806,120821.2201,9.0,1,0,0,939.9215,2946.859
50,42,9.1361,38855.2938,121820.0161,10.0,2,1,0,925.126,2900.4766
51,43,9.3602,40830.6273,128012.661,0.0,1,1,0,949.5495,2977.0386
52,44,9.4772,39879.006,125029.3903,0.0,1,1,0,906.341,2841.5771
53,45,9.6377,43337.7363,135873.4671,0.0,1,1,0,963.0608,3019.4104
54,46,9.7515,45818.7956,143652.6133,0.0,1,1,0,996.0608,3122.8829
55,46,10.1127,49568.7306,155409.2148,0.0,0,0,0,1077.5811,3378.4612
56,47,10.1894,43287.1747,135715.1113,0.0,1,1,0,921.0037,2887.5556
57,48,10.1079,41671.3306,130648.6337,0.0,1,1,0,868.1527,2721.8465
58,49,10.0917,48245.3998,151260.4217,0.0,1,1,0,984.6,3086.9474
59,50,10.0456,46225.0088,144926.1171,0.0,1,1,0,924.5002,2898.5223
60,51,10.0166,48438.3729,151865.4393,0.0,1,1,0,949.772,2977.7537
61,51,10.231,50498.1287,158322.5227,1.0,1,0,0,990.1594,3104.3632
62,52,10.202,40447.8837,126812.6589,3.0,3,1,0,777.8439,2438.705
63,53,10.1135,44247.569,138725.72,5.0,3,1,0,834.8598,2617.4664
64,53,10.1163,49043.1536,153760.9872,3.0,1,0,0,925.3425,2901.1507
65,54,9.9522,46840.9331,146856.7726,4.0,2,1,0,867.4247,2719.5699
66,55,9.5387,41647.4923,130573.6959,5.0,2,1,0,757.2271,2374.0672
67,56,9.468,48637.3703,152488.4353,7.0,3,1,0,868.5245,2723.0078
68,57,9.6047,53978.4539,169233.5037,9.0,4,1,0,946.9904,2969.0088
69,58,9.5008,47569.4738,149140.0299,12.0,4,1,0,820.1633,2571.3798
70,59,9.4477,45591.9553,142940.2444,15.0,4,1,0,772.745,2422.716
71,60,9.734,66630.1028,208900.0198,19.0,5,1,0,1110.5017,3481.667
72,61,9.9087,61210.8482,191909.6233,8.0,4,1,0,1003.4565,3146.0594
73,61,10.1302,51964.306,162919.2422,5.0,2,0,0,851.8739,2670.8072
74,62,10.2337,60552.6379,189846.3018,7.0,3,1,0,976.6554,3062.0371
75,63,10.0195,47358.392,148478.5127,9.0,3,1,0,751.7205,2356.8018
76,64,10.0483,63251.779,198308.7925,11.0,3,1,0,988.309,3098.5749
77,65,9.8718,53443.1419,167555.8931,13.0,3,1,0,822.2022,2577.783
78,66,9.9013,65148.0492,204254.1475,15.0,3,1,0,987.0917,3094.7598
79,66,10.1432,62189.9381,194979.405,17.0,2,0,0,942.2718,2954.2334
80,67,10.2902,63783.9992,199977.6436,0.0,1,1,0,952.0,2984.7409
81,68,10.5368,66193.3692,207531.2896,0.0,1,1,0,973.4319,3051.9307
82,69,10.3775,54162.026,169810.2266,0.0,1,1,0,784.9569,2461.0178
83,70,10.4771,67379.468,211250.3585,0.0,1,1,0,962.5638,3017.8623
84,71,10.3277,63245.0716,198288.1174,0.0,1,1,0,890.7757,2792.7904
85,70,10.4602,64820.1123,203225.804,0.0,0,0,1,926.0016,2903.2258
86,71,10.6451,70574.971,221269.1537,0.0,1,1,0,994.0137,3116.467
87,72,10.4684,68518.0084,214820.0473,0.0,1,1,0,951.639,2983.6118
88,73,10.3429,64758.6167,203033.7222,0.0,1,1,0,887.1043,2781.2839
89,74,10.4284,67960.1352,213070.7819,0.0,1,1,0,918.3802,2879.3349
90,75,10.5345,70243.9055,220230.7771,1.0,2,1,0,936.5854,2936.4104
91,74,10.7178,61597.1821,193120.8595,2.0,1,0,1,832.3944,2609.7413
92,75,10.6967,62438.5252,195758.4522,3.0,2,1,0,832.5137,2610.1127
93,76,10.741,69125.5934,216724.2048,5.0,3,1,0,909.5473,2851.6343
94,77,10.5215,57779.3181,181150.7891,7.0,3,1,0,750.3808,2352.6077
95,78,10.4307,62712.7988,196618.2649,9.0,3,1,0,804.0102,2520.747
96,79,10.5142,67371.01,211223.021,7.0,2,1,0,852.7976,2673.7091
97,79,10.7318,66679.428,209055.0187,8.0,1,0,0,844.0434,2646.2661
98,80,10.6904,71823.7329,225183.4381,9.0,2,1,0,897.7967,2814.793
99,80,10.3107,62397.918,195631.0718,10.0,2,1,1,779.974,2445.3884
100,81,10.1306,59984.9758,188065.6357,11.0,2,1,0,740.5553,2321.798
101,82,10.0909,72076.3881,225975.0931,12.0,2,1,0,878.9803,2755.7938
102,83,10.0712,75726.4103,237419.4046,14.0,3,1,0,912.3664,2860.4748
103,83,10.2593,77472.3961,242893.4021,19.0,5,0,0,933.4024,2926.4265
104,84,10.341,78472.5011,246028.5433,2.0,2,1,0,934.1964,2928.9112
105,85,10.4077,76499.3593,239842.441,0.0,1,1,0,899.9925,2821.6758
106,86,10.5195,76813.9128,240828.7417,0.0,1,1,0,893.185,2800.3342
107,87,10.645,84927.5408,266267.6176,0.0,1,1,0,976.1786,3060.5473
108,88,10.8841,85902.4718,269324.0734,1.0,2,1,0,976.1645,3060.5008
109,88,11.1398,87492.1563,274308.9293,2.0,1,0,0,994.229,3117.1469
110,89,11.2396,90479.4699,283674.6511,3.0,2,1,0,1016.6233,3187.3556
111,90,11.1859,77917.7718,244290.1385,4.0,2,1,0,865.753,2714.3349
112,91,11.244,85560.3596,268251.7685,0.0,1,1,0,940.2237,2947.8216
113,92,11.3538,94931.1817,297631.6031,0.0,1,1,0,1031.8607,3235.1261
114,92,11.5427,82456.3107,258519.6177,0.0,0,0,0,896.2642,2809.9958
115,92,11.5995,82238.3366,257836.6093,0.0,0,0,0,893.895,2802.5718
116,94,11.4565,88185.5056,276482.0886,0.0,2,2,0,938.1437,2941.2988
117,95,11.5132,90352.5948,283277.2888,1.0,2,1,0,951.0799,2981.8662
118,96,11.5984,87513.6102,274375.6351,2.0,2,1,0,911.6001,2858.0795
119,97,11.5936,86226.8931,270341.0081,4.0,3,1,0,888.937,2787.0207
120,97,11.5,76392.5024,239507.5089,4.0,2,1,1,787.5516,2469.1496
121,97,11.4614,75714.7495,237383.0995,5.0,1,0,0,780.5644,2447.2484
122,98,11.463,92187.0529,289027.5324,6.0,2,1,0,940.6842,2949.2605
