step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
0,1,0.0,837.2222,2624.7222,0.0,1,1,0,837.2222,2624.7222
1,1,1.9592,1084.873,3401.2176,0.0,0,0,0,1084.873,3401.2176
2,1,4.4435,1620.5108,5080.6464,0.0,0,0,0,1620.5108,5080.6464
3,2,2.9127,2187.559,6858.3045,0.0,1,1,0,1093.7795,3429.1522
4,2,5.0955,3384.886,10612.3601,0.0,0,0,0,1692.443,5306.1801
5,2,6.9195,3303.5794,10357.4819,0.0,0,0,0,1651.7897,5178.741
6,3,5.3673,3632.1668,11387.4972,0.0,1,1,0,1210.7223,3795.8324
7,3,6.6184,3943.2006,12362.7328,0.0,0,0,0,1314.4002,4120.9109
8,3,7.6703,3702.8037,11609.0504,0.0,0,0,0,1234.2679,3869.6835
9,4,6.6113,5230.3512,16398.1961,0.0,1,1,0,1307.5878,4099.549
10,4,8.2935,6744.1402,21144.4808,0.0,0,0,0,1686.0351,5286.1202
11,4,8.0593,3870.7481,12135.7368,0.0,0,0,0,967.687,3033.9342
12,5,7.2813,6904.9841,21648.7365,0.0,1,1,0,1380.9968,4329.7473
13,5,7.8812,5322.49,16687.2442,0.0,0,0,0,1064.498,3337.4488
14,5,9.6441,10684.2102,33497.7632,0.0,0,0,0,2136.842,6699.5526
15,6,8.301,4241.3806,13297.4779,0.0,1,1,0,706.8968,2216.2463
16,6,8.8718,5484.1235,17193.9108,0.0,0,0,0,914.0206,2865.6518
17,6,9.7215,7341.2551,23016.437,0.0,0,0,0,1223.5425,3836.0728
18,7,8.259,4353.2193,13648.0292,0.0,1,1,0,621.8885,1949.7185
19,7,8.3472,7039.5341,22070.4837,0.0,0,0,0,1005.6477,3152.9262
20,7,8.9518,6584.1704,20642.66,0.0,0,0,0,940.5958,2948.9514
21,8,7.7387,6215.7623,19487.5714,0.0,1,1,0,776.9703,2435.9464
22,8,8.5852,9729.1502,30503.0218,0.0,0,0,0,1216.1438,3812.8777
23,8,8.7542,7859.1959,24640.267,0.0,0,0,0,982.3995,3080.0334
24,9,8.2413,12715.7124,39866.8803,0.0,1,1,0,1412.8569,4429.6534
25,9,9.0838,11401.7242,35747.2168,0.0,0,0,0,1266.8582,3971.913
26,9,9.1082,7003.3342,21956.9106,0.0,0,0,0,778.1482,2439.6567
27,10,8.0472,6645.7125,20835.6698,0.0,1,1,0,664.5712,2083.567
28,10,8.48,10305.7104,32310.7891,0.0,0,0,0,1030.571,3231.0789
29,10,9.0918,11018.1795,34544.557,0.0,0,0,0,1101.818,3454.4557
30,11,9.0965,15865.858,49743.3186,0.0,1,1,0,1442.3507,4522.1199
31,11,9.8898,14041.3545,44022.8527,0.0,0,0,0,1276.4868,4002.0775
32,11,10.1455,9574.6547,30018.8298,0.0,0,0,0,870.4232,2728.9845
33,12,9.115,5797.7985,18177.2355,0.0,1,1,0,483.1499,1514.7696
34,12,9.5869,11256.015,35289.8689,0.0,0,0,0,938.0013,2940.8224
35,12,9.599,8887.8538,27865.1957,0.0,0,0,0,740.6545,2322.0996
36,13,8.6968,9119.992,28592.9888,0.0,1,1,0,701.5378,2199.4607
37,13,9.0342,11998.3163,37617.2419,0.0,0,0,0,922.9474,2893.634
38,13,9.0412,7369.7668,23105.8468,0.0,0,0,0,566.9051,1777.3728
39,14,8.8447,14705.8478,46105.895,0.0,1,1,0,1050.4177,3293.2782
40,14,8.994,9438.5966,29591.8593,0.0,0,0,0,674.1855,2113.7042
41,14,9.333,12734.4816,39925.2879,0.0,0,0,0,909.6058,2851.8063
42,15,8.7288,11138.2366,34920.5775,0.0,1,1,0,742.5491,2328.0385
43,15,9.1641,13206.8908,41406.2813,0.0,0,0,0,880.4594,2760.4188
44,15,9.4089,10613.7026,33276.2149,0.0,0,0,0,707.5802,2218.4143
45,16,8.9982,12211.8942,38286.7909,0.0,1,1,0,763.2434,2392.9244
46,16,8.9675,8907.9143,27927.9606,0.0,0,0,0,556.7446,1745.4975
47,16,9.1217,15644.5463,49048.8974,0.0,0,0,0,977.7841,3065.5561
48,17,8.5164,9793.3222,30704.1237,0.0,1,1,0,576.0778,1806.1249
49,17,8.9354,17168.818,53827.9668,0.0,0,0,0,1009.9305,3166.351
50,17,9.2596,17336.5917,54354.3016,0.0,0,0,0,1019.7995,3197.3119
51,18,9.1775,16600.8765,52047.3622,0.0,1,1,0,922.2709,2891.5201
52,18,9.8853,21053.5098,66007.5915,0.0,0,0,0,1169.6394,3667.0884
53,18,10.0009,16535.4721,51842.5023,0.0,0,0,0,918.6373,2880.139
54,19,9.5929,13542.987,42460.0769,0.0,1,1,0,712.7888,2234.7409
55,19,9.977,16557.8781,51912.4953,0.0,0,0,0,871.4673,2732.2366
56,19,9.7176,10640.4068,33360.1999,0.0,0,0,0,560.0214,1755.8
57,20,9.2421,15704.5577,49237.0391,0.0,1,1,0,785.2279,2461.852
58,20,8.9921,13955.13,43752.5032,0.0,0,0,0,697.7565,2187.6252
59,20,9.2001,18516.9155,58054.6138,0.0,0,0,0,925.8458,2902.7307
60,21,8.5931,14252.3014,44683.672,0.0,1,1,0,678.681,2127.7939
61,21,8.6856,17871.1265,56030.0222,0.0,0,0,0,851.006,2668.0963
62,21,8.99,20229.6452,63424.5336,0.0,0,0,0,963.3164,3020.2159
63,22,8.8859,21788.14,68310.7168,1.0,2,1,0,990.37,3105.0326
64,22,9.243,21691.1956,68006.8206,2.0,1,0,0,985.9634,3091.2191
65,22,9.6421,20759.8519,65086.9081,0.0,0,0,0,943.6296,2958.4958
66,23,9.9446,30661.9594,96132.8386,0.0,1,1,0,1333.1287,4179.6886
67,23,9.9037,16793.7983,52652.2537,0.0,0,0,0,730.1651,2289.2284
68,23,9.9271,18404.691,57702.743,0.0,0,0,0,800.204,2508.8149
69,24,9.4816,18424.2774,57764.3591,0.0,1,1,0,767.6782,2406.8483
70,24,9.2927,16934.1424,53092.0098,1.0,1,0,0,705.5893,2212.1671
71,24,8.8348,16757.0091,52536.8607,2.0,1,0,0,698.2087,2189.0359
72,25,9.0963,28470.2069,89260.3204,0.0,1,1,0,1138.8083,3570.4128
73,25,9.4295,21264.568,66669.0726,0.0,0,0,0,850.5827,2666.7629
74,25,9.5186,20087.9108,62980.3827,0.0,0,0,0,803.5164,2519.2153
75,26,9.2168,22458.4725,70411.8176,0.0,1,1,0,863.7874,2708.1468
76,26,9.5864,24043.153,75380.7027,0.0,0,0,0,924.7367,2899.2578
77,26,9.912,26230.4338,82237.9603,1.0,1,0,0,1008.8628,3162.9985
78,27,9.6628,26456.2306,82946.1493,2.0,2,1,0,979.8604,3072.0796
79,27,9.8652,24456.5422,76676.5963,3.0,1,0,0,905.7979,2839.8739
